order_id,date,customer_id,product_category,product_name,quantity,unit_price,revenue,region,salesperson
ORD-000001,2025-05-10,C-00145,Electronics,Wireless Headphones,1,50.94,50.94,West,Henry Foster
ORD-000002,2025-11-10,C-00668,Home & Garden,Plant Pot Set,5,23.75,118.75,West,Bob Martinez
ORD-000003,2023-05-02,C-00690,Home & Garden,Yoga Mat,8,38.33,306.64,West,Henry Foster
ORD-000004,2024-04-11,C-00648,Electronics,USB-C Charging Cable,3,16.28,48.84,North,Frank Davis
ORD-000005,2023-11-27,C-00018,Home & Garden,Yoga Mat,3,22.11,66.33,South,Irene Okafor
ORD-000006,2023-03-29,C-00351,Office Supplies,Printer Paper (Ream),3,6.06,18.18,East,Alice Chen
ORD-000007,2025-05-21,C-00155,Sports & Outdoors,Resistance Bands,1,13.08,13.08,East,David Kim
ORD-000008,2023-05-11,C-00784,Home & Garden,Throw Blanket,3,41.58,124.74,South,Irene Okafor
ORD-000009,2025-02-08,C-00506,Office Supplies,Whiteboard,1,57.36,57.36,West,Bob Martinez
ORD-000010,2023-12-10,C-00778,Home & Garden,Stainless Steel Cookware Set,12,77.68,932.16,North,Frank Davis
ORD-000011,2025-03-16,C-00360,Electronics,USB-C Charging Cable,3,11.21,33.63,East,David Kim
ORD-000012,2024-01-21,C-00332,Home & Garden,Plant Pot Set,2,26.4,52.8,South,James Wilson
ORD-000013,2025-08-13,C-00528,Electronics,Mechanical Keyboard,6,89.77,538.62,South,Irene Okafor
ORD-000014,2023-10-04,C-00012,Books & Media,Paperback Novel,9,10.84,97.56,North,Frank Davis
ORD-000015,2024-04-04,C-00075,Office Supplies,Filing Cabinet,4,55.5,222.0,East,Grace Liu
ORD-000016,2023-01-22,C-00212,Clothing,Denim Jeans,4,35.3,141.2,South,James Wilson
ORD-000017,2023-09-10,C-00691,Home & Garden,Throw Blanket,1,44.67,44.67,North,Frank Davis
ORD-000018,2025-01-17,C-00641,Home & Garden,LED Desk Lamp,3,21.03,63.09,North,Carol Williams
ORD-000019,2025-05-06,C-00283,Clothing,Winter Jacket,1,146.69,146.69,East,Alice Chen
ORD-000020,2024-04-19,C-00195,Books & Media,Paperback Novel,6,12.99,77.94,North,Frank Davis
ORD-000021,2025-12-18,C-00780,Sports & Outdoors,Water Bottle,3,19.32,57.96,East,Alice Chen
ORD-000022,2024-05-25,C-00030,Electronics,Wireless Headphones,2,50.99,101.98,East,Grace Liu
ORD-000023,2024-11-30,C-00009,Office Supplies,Printer Paper (Ream),1,7.12,7.12,West,Bob Martinez
ORD-000024,2025-09-02,C-00309,Electronics,Mechanical Keyboard,2,129.31,258.62,East,David Kim
ORD-000025,2023-07-09,C-00445,Office Supplies,Printer Paper (Ream),2,12.57,25.14,North,Frank Davis
ORD-000026,2025-08-15,C-00310,Clothing,Cotton T-Shirt,2,15.39,30.78,North,Carol Williams
ORD-000027,2024-11-17,C-00677,Sports & Outdoors,Resistance Bands,1,17.96,17.96,East,Grace Liu
